model,roc_auc_train,roc_auc_test,pr_auc_train,pr_auc_test,f1_train,f1_test,brier_train,brier_test
rf,0.9995350359055607,0.9537362258953168,0.9849981186049312,0.5177128353606695,0.9190600522193212,0.4772727272727273,0.009391259726717562,0.02410468032636692
xgb,1.0,0.9566287878787878,1.0,0.4876569799757079,1.0,0.41025641025641024,1.3829852572370373e-05,0.02639670148067821
logreg,0.9525435258055073,0.9498106060606061,0.43165627994000183,0.43222362090037514,0.31673306772908366,0.3058823529411765,0.09348301929125845,0.09342155897435503
